iter	RMSE
0	29.03833479
1	27.85111191
2	27.17498974
3	26.20066281
4	25.64765972
5	24.95012989
6	24.28302074
7	23.66317555
8	22.55240904
9	22.15691704
10	21.66129536
11	21.29665822
12	20.85644212
13	20.390816
14	19.96993065
15	19.23286364
16	19.0055237
17	18.20728436
18	18.01117665
19	17.74844297
20	17.03688744
21	16.82578042
22	16.24014125
23	15.84463805
24	15.68519476
25	15.48627642
26	15.32980073
27	15.12154669
28	15.0086303
29	14.43623598
30	14.37367448
31	14.13582999
32	14.09291931
33	13.88486555
34	13.69168833
35	13.53917865
36	13.33546577
37	13.24022808
38	13.1030128
39	12.97609231
40	12.8875237
41	12.56805036
42	12.22817237
43	12.16662826
44	12.01126136
45	11.81470761
46	11.63410795
47	11.44176641
48	11.39270558
49	11.33486024
50	11.16623237
51	11.01523005
52	10.84614303
53	10.76460522
54	10.63954072
55	10.58590936
56	10.43435675
57	10.32614991
58	10.21796297
59	10.11478046
60	10.03947892
61	9.942181586
62	9.887411802
63	9.807279303
64	9.733523567
65	9.654020846
66	9.617063197
67	9.543384368
68	9.507034638
69	9.438337394
70	9.37133324
71	9.337268775
72	9.277028758
73	9.247824666
74	9.188693956
75	9.136666122
76	9.10898624
77	9.057712358
78	9.028265223
79	9.00193134
80	8.979626191
81	8.969768997
82	8.959368199
83	8.926846107
84	8.906052123
85	8.885728845
86	8.840190843
87	8.821724552
88	8.80415433
89	8.760691734
90	8.743994069
91	8.735656679
92	8.727303509
93	8.720221408
94	8.704368735
95	8.66317664
96	8.624048848
97	8.586033918
98	8.570816906
99	8.563931375
100	8.548937834
101	8.512623092
102	8.505670735
103	8.47107356
104	8.45675672
105	8.423662171
106	8.417113587
107	8.385703807
108	8.372074361
109	8.36634803
110	8.353435788
111	8.323214674
112	8.317426071
113	8.288814594
114	8.276795467
115	8.271743739
116	8.260336331
117	8.232788917
118	8.221930238
119	8.21718983
120	8.206918521
121	8.181168396
122	8.17138864
123	8.167350427
124	8.142503659
125	8.133186432
126	8.124131561
127	8.120314788
128	8.096582396
129	8.088135309
130	8.079926632
131	8.074210903
132	8.051466085
133	8.029885448
134	8.022192255
135	8.0148839
136	8.007940013
137	7.987312748
138	7.980687891
139	7.974391598
140	7.968407004
141	7.94868731
142	7.942972544
143	7.937539845
144	7.932840196
145	7.92746557
146	7.908628882
147	7.890700075
148	7.885738222
149	7.880813075
150	7.876142287
151	7.872867788
