iter	Passed	Remaining
0	0	288
1	1	273
2	1	248
3	1	226
4	2	216
5	2	216
6	3	219
7	3	217
8	4	225
9	4	229
10	5	231
11	5	229
12	6	227
13	6	226
14	6	223
15	7	222
16	7	222
17	8	221
18	8	217
19	9	216
20	9	214
21	9	213
22	10	212
23	11	219
24	12	233
25	13	237
26	13	237
27	14	236
28	14	235
29	14	233
30	15	231
31	15	230
32	16	227
33	16	227
34	17	226
35	17	226
36	18	225
37	18	224
38	19	224
39	19	224
40	20	223
41	20	223
42	20	223
43	21	221
44	21	222
45	22	221
46	22	220
47	23	220
48	23	220
49	24	218
50	24	217
51	25	218
52	26	222
53	27	223
54	27	223
55	28	223
56	28	222
57	29	222
58	29	222
59	30	221
60	30	220
61	31	219
62	31	218
63	32	218
64	32	217
65	32	216
66	33	216
67	33	215
68	34	214
69	34	213
70	35	213
71	35	212
72	36	211
73	36	210
74	37	210
75	37	209
76	37	208
77	38	207
78	38	207
79	39	206
80	39	206
81	40	208
82	41	207
83	41	207
84	42	206
85	42	205
86	43	204
87	43	204
88	44	203
89	44	203
90	45	202
91	45	201
92	45	200
93	46	199
94	46	199
95	47	198
96	47	197
97	47	196
98	48	196
99	48	195
100	49	195
101	49	194
102	50	193
103	50	193
104	51	192
105	51	191
106	52	191
107	52	190
108	52	189
109	53	189
110	54	190
111	55	190
112	55	190
113	56	189
114	56	189
115	57	188
116	57	188
117	57	187
118	58	186
119	58	186
120	59	185
121	59	184
122	60	183
123	60	183
124	61	183
125	61	182
126	61	181
127	62	181
128	62	180
129	63	179
130	63	179
131	64	178
132	64	177
133	64	177
134	65	176
135	65	175
136	66	175
137	66	174
138	67	174
139	67	173
140	68	173
141	69	174
142	69	173
143	70	173
144	70	172
145	70	171
146	71	171
147	71	170
148	72	170
149	72	169
150	73	169
151	73	168
152	74	167
153	74	167
154	74	166
155	75	166
156	75	165
157	76	165
158	76	164
159	77	164
160	77	163
161	78	163
162	78	162
163	79	161
164	79	161
165	79	160
166	80	160
167	80	159
168	81	159
169	81	158
170	82	158
171	83	158
172	83	157
173	83	157
174	84	156
175	84	156
176	85	155
177	85	155
178	86	154
179	86	154
180	87	153
181	87	153
182	88	152
183	88	152
184	89	151
185	89	151
186	89	150
187	90	149
188	90	149
189	91	148
190	91	148
191	92	147
192	92	147
193	92	146
194	93	146
195	93	145
196	94	144
197	94	144
198	95	143
199	95	143
200	95	142
201	96	142
202	97	141
203	97	141
204	97	140
205	98	140
206	98	139
207	99	139
208	99	138
209	100	138
210	100	137
211	101	137
212	101	136
213	102	136
214	102	135
215	102	135
216	103	134
217	103	134
218	104	133
219	104	133
220	105	132
221	105	132
222	106	131
223	106	131
224	107	130
225	107	130
226	108	129
227	108	129
228	108	128
229	109	128
230	109	127
231	110	127
232	111	127
233	111	127
234	112	126
235	112	126
236	113	126
237	114	125
238	114	125
239	115	124
240	115	124
241	115	123
242	116	123
243	116	122
244	117	122
245	117	121
246	118	121
247	118	120
248	119	120
249	119	119
250	120	119
251	120	118
252	121	118
253	121	117
254	121	117
255	122	116
256	122	116
257	123	115
258	123	115
259	124	114
260	124	114
261	125	113
262	126	113
